# Jean Perrin's data on Brownian motion. x, y values of endpoints of 508 random
# walks,  in micrometers. P Nelson 6/2013
-4.303523009, 4.29098608
-16.23621157, -4.670943875
-9.608815751, -13.16713185
-8.83103257, -14.03464786
3.2172524, -16.8381816
7.052960395, -14.49219641
14.55991557, -6.412984718
14.32822917, 1.231876675
14.65705209, -5.542803382
14.19792408, -5.315263055
13.82260594, -6.50666618
12.76131047, -6.875962649
12.61412495, -8.433009751
12.23880681, -9.624412875
11.12687004, -10.77218354
-0.314903966, -14.51361777
-2.337594331, -13.92428339
-10.84197573, -11.43101397
-14.44708321, 2.064052359
-13.66673341, 1.654282339
-13.67413711, 0.372356665
-12.53495474, -1.684489428
-13.09980755, -3.792075533
-12.09902498, -5.895120703
-11.54641294, -5.893442532
-9.498550005, -10.05362994
-8.618793219, -9.226982353
-7.246147562, -10.73388174
6.79323866, -11.65450694
10.54484064, -7.935382512
13.34383345, -1.74677921
13.48460243, -1.288539645
12.02202652, 0.584201151
8.47180513, -8.07871811
4.080622333, -10.92993167
2.006007365, -11.34799383
0.307302836, -10.48304444
-0.251429593, -11.53762722
-1.860006435, -10.99291246
-3.283194673, -10.26448727
-4.570154862, -9.856197989
-5.995613568, -9.494107786
-5.809237803, -9.127279216
-6.266588924, -8.579306829
-6.593141375, -9.312766536
-7.558583629, -9.04080402
-7.048616892, -8.444164657
-8.057889039, -7.806163298
-8.694014794, -6.34299509
-9.29134517, -6.115849627
-9.288186258, -5.566495216
-10.16014448, -5.065412918
-11.29004755, -1.40620909
-10.40871131, -0.304834936
-10.49893771, 0.015300976
-11.59952214, 0.790418826
-10.16932507, 1.252409598
-10.94128401, 3.127223429
10.52065523, -4.181411346
9.131721435, -5.46728566
-7.541012185, -6.019206686
-7.487211977, -4.691378082
-7.574970481, -3.959102966
-9.226883637, -2.956740937
-9.400130176, -1.080248934
-8.791941043, 0.569689902
-9.616811745, 1.253989053
-8.55768803, 1.257049249
-7.77398189, 1.396732356
-8.82856467, 2.171948922
-7.67339031, 2.8619736
-8.637746687, 3.316955537
-7.494813108, 1.901072281
7.92659679, 1.075905431
8.015243737, 0.481042955
8.701912072, -0.20365106
8.146634702, -0.663075216
8.191155608, -0.937703064
9.293911785, -1.346485924
8.876244487, -1.897123642
7.765196168, -2.907481665
7.621959286, -3.777761717
8.079507838, -4.280028607
7.249010325, -4.557124354
7.380006426, -5.792850951
6.140133758, -5.201246102
6.367674084, -5.658399791
5.953264414, -5.659584383
5.625033791, -6.667770654
5.303022274, -6.6229536
4.607963082, -7.357400468
4.509247105, -8.502209651
3.908659102, -8.824418599
3.867198392, -8.04633927
3.50066597, -7.726894369
2.668885149, -8.232912466
2.347564645, -8.050682773
2.023874957, -8.280592283
0.129515362, -9.3848292
-0.195852498, -9.889366557
-0.839184519, -9.66231981
-1.713808073, -9.619082213
-1.753195748, -8.474667893
-2.86296076, -9.256103566
-3.965124641, -8.755712279
-3.085170423, -7.883359192
-3.500369822, -8.021857708
-3.588523189, -7.335386805
-4.87864229, -7.476451936
3.393065555, 5.412004713
4.72504023, 4.820696012
5.504699015, 4.273612068
4.445279152, 4.22474766
5.225925096, 3.860781853
4.765513781, 3.859399829
5.039055752, 3.402443573
5.312992588, 2.991192813
5.867184082, 3.267498832
6.04635358, 2.398107225
6.409924522, 1.575112126
7.465000883, 0.891503987
6.171624154, 0.200985729
6.582874914, -0.34718409
7.551772226, -0.023889266
7.687210546, -0.481339103
7.50063735, -0.89387317
7.405870012, -1.352014018
7.035092803, -1.765041665
7.495010539, -1.855268068
5.510918122, -2.547760646
5.738754596, -2.959110121
5.184563102, -3.23541614
5.55168782, -3.463252615
5.779721726, -3.828896593
5.638360448, -4.378645867
4.997496326, -3.739558634
5.08179977, -5.066992374
4.255053465, -4.703125283
3.050027536, -6.034310231
3.185564572, -6.491760067
2.85999928, -7.042002922
2.397613645, -7.363817006
2.217950567, -6.586033825
1.615585677, -7.22877355
1.434343143, -6.725716932
0.741949282, -7.002417815
0.606807109, -6.499163765
0.328329339, -6.866288483
-0.31579241, -6.77655566
-0.358635144, -6.227299965
-0.9181573, -7.419196669
-1.380049356, -7.649501043
-1.280938515, -6.458887647
-1.647470937, -6.139442746
-3.310637714, -7.059870514
-3.862361309, -6.924136046
-4.320995737, -6.604987293
-3.672333053, -5.916443354
-4.087532452, -6.05494187
-4.640934218, -6.193933965
-5.005294888, -5.50825279
-5.648923057, -5.327010257
-4.402732566, -4.819807568
-4.907072491, -4.455052034
-5.54408669, -3.129197749
-6.005090301, -3.222089483
-7.064707597, -3.316758105
-6.64871847, -3.04084695
-6.553654985, -2.537000604
-7.290471036, -2.53907364
-7.058883354, -2.309558993
-6.641512204, -1.804725488
-6.777740252, -1.484688291
-7.234005497, -0.753499051
-6.214763036, 0.302465753
-6.120489278, 0.668998175
-6.809131933, 1.033260129
-7.267470213, 1.39811438
-6.115750911, 1.493079149
-6.66638863, 1.811931754
-7.215249461, 2.451315136
-6.982082324, 2.955556346
-6.111407408, 2.225551697
-6.247734172, 2.54568761
-6.106372894, 3.095436885
4.306978068, -3.695827456
4.074995523, -3.994048422
3.612116308, -4.407470933
2.257535674, -3.747554628
2.693564143, -3.998095777
2.712024031, -4.776273822
1.9938653, -5.533721512
1.372152078, -5.535597116
0.517666582, -5.995811
0.427835044, -5.606968767
0.986962336, -4.483679667
0.68923495, -4.209841547
0.572355234, -4.507766365
-0.010463894, -5.745565998
0.007674871, -5.264917907
0.155477663, -4.92109016
-0.142447155, -4.692957538
-0.277391895, -4.143997991
-0.536718766, -5.174888936
-0.899203833, -4.168676985
-0.880842661, -4.969855853
-1.598211665, -5.589989619
-1.572545511, -5.132046203
-1.33799635, -4.398882643
-1.612821629, -4.147847914
-2.656249504, -5.409931677
-2.88477699, -5.112994019
-2.417652988, -3.96709896
-2.552597728, -3.418139413
-3.543212556, -3.512511887
-4.100266813, -4.29246682
-3.931659924, -3.010047565
-4.900162373, -3.264636069
-5.333328079, -2.533446829
-4.6649222, -2.417060692
-4.295132151, -2.16415036
-4.616650088, -2.02772488
-3.948244209, -1.911338743
-4.222674624, -1.59169641
-4.566699803, -1.36376122
-5.144977995, -1.823284092
-5.373406766, -1.503444327
-5.04942093, -1.22782932
-5.296803168, -0.22132122
-5.524540926, 0.212930362
-4.441231797, 0.422010801
-4.920991444, 1.061591615
-4.662355585, 1.977972027
-4.705988047, 2.389913799
-4.292861684, 2.16217604
-3.787139734, 2.02624414
-4.26719553, 2.620020741
-4.195823878, 3.009356553
-3.132455376, 3.744988012
-1.889522512, 3.679934184
-2.389815083, 4.754358875
-1.262379911, 4.620302579
-0.914800957, 5.010428119
-0.337806073, 5.241028641
-0.266039558, 5.698972057
-0.436719481, 4.073317351
0.092299438, 3.98328838
0.098617261, 5.059095096
0.119446332, 4.692957538
0.715295968, 4.213987618
0.943823454, 3.91704996
1.522397794, 4.422278329
1.565832824, 3.987533167
1.804626772, 5.453169275
1.986955181, 5.133230794
2.241741117, 5.385844979
2.331375224, 4.974001924
2.375303834, 4.607864366
2.836899742, 4.792364526
2.581324078, 4.402535134
3.086651163, 4.197896914
3.500073674, 4.015963369
1.522101646, 4.376572832
1.519831179, 3.987335735
1.981328371, 4.171835896
1.909364424, 3.668088266
2.321799775, 3.325839975
2.989514642, 3.327814294
2.734235126, 2.983690399
4.166801381, 3.857721658
3.699282515, 2.643120279
4.159397683, 2.575795983
4.712305869, 2.646081758
4.640736786, 2.210941733
3.67095103, 1.727430878
3.966210516, 1.041552271
5.004209013, 1.365044527
5.441619506, 1.366327835
5.156330333, -0.191114131
4.047256333, -0.858137986
4.598782496, -1.039676668
4.158114375, -1.590314386
4.707468786, -2.138089342
4.911613426, -2.66394935
3.649529663, -1.935129293
3.439758212, -2.370664183
4.013396753, -2.712320179
3.528701307, -2.919821162
3.918925563, -3.124656814
4.402337702, -3.146176897
4.101253973, -3.444595295
2.438185911, -0.404932937
2.805211913, -0.632769411
2.090014661, -0.886666904
2.848252079, -1.159123
2.984085263, -1.547866516
3.004716902, -1.959907004
2.886948742, -2.418047852
2.519725308, -2.213113484
2.215581384, -3.038082902
1.847765654, -2.947560352
1.550136984, -2.650820125
1.205914373, -2.468689148
0.838296075, -2.3324611
1.302261166, -1.735920452
1.226249864, -2.926435133
0.878769626, -3.293757282
1.153298757, -3.590497509
-0.182130977, -3.594347432
0.004337975, -3.204715471
-0.108093995, -2.747166919
-0.686273471, -3.183787684
-0.964158946, -3.459303975
-1.077583603, -3.162070169
-1.380345504, -3.758117237
-1.446583924, -3.277567862
-1.467215563, -2.865626091
-1.143328443, -2.589912368
0.217668729, -2.151119851
-0.634250151, -2.15358775
-2.045493756, -3.325050247
-2.594058439, -2.639961368
-3.053383879, -2.435224432
-1.163269071, -2.063558779
-1.601666724, -2.225058117
-1.690313671, -1.630096925
-1.945790619, -2.020025034
-2.404918627, -1.792484707
-3.119424867, -1.90896956
-3.465523082, -2.047270643
-3.024854961, -1.496632924
-2.378462745, -1.197227367
-2.837590753, -0.969588324
-3.801453551, -0.423096677
-3.775984829, -0.010957473
-3.500567254, -0.147481669
-2.879545044, -0.260116599
-2.325649698, -0.029614793
-2.715873954, 0.175220859
-2.299687396, 0.474034121
-2.389617651, 0.840072963
-2.712517611, 0.747576092
-2.96404592, 1.044415035
-3.264043773, 0.929016058
-2.47944919, 1.228915195
-2.087053182, 1.390315817
-3.190006791, 1.776196571
-2.886850026, 2.440949959
-2.310250005, 2.602844161
-1.154088485, 3.453183585
-0.79278801, 2.24095139
-0.948561821, 3.156147211
-0.624082405, 3.523370644
0.089634107, 3.52544368
0.179070782, 3.067895127
0.641160269, 3.343904999
0.592197145, 2.840157369
0.936715904, 2.703830605
1.464056652, 2.316172964
0.908877999, 1.879650914
1.252409598, 1.560206014
2.132166383, 2.386853603
2.732260806, 2.640356232
2.636802457, 2.067803566
1.962177471, 0.875511998
2.217950567, 1.31124432
2.608668403, 1.197918379
2.99741192, 0.741159554
3.505897916, 1.06317107
-0.659718873, 1.371559782
0.85902643, 1.215687254
0.120433492, 0.915985549
-0.225664723, 0.777585749
-0.733360992, 0.592986873
-1.148955254, 0.385782037
-1.470275759, 0.568011731
-1.911536175, -0.097136521
0.279267498, 0.504438642
0.648860116, 0.711446045
0.879559353, 0.803745483
1.294265172, 0.850734288
1.223387101, 0.53000608
0.691406702, 0.116484853
0, 3.51E-15
0.619936334, -0.295753067
-0.48459673, -0.184500161
-0.602463606, -0.665543116
0.088943095, -0.549156979
0.317766729, -0.777388317
1.078274615, -0.660706033
0.754288779, -0.93632104
0.982026537, -1.370572622
0.590321541, -1.417462711
0.176405451, -1.327137592
-0.538594369, -1.558132978
-0.720330483, -1.123683964
-1.296338207, -1.194068456
-1.068600449, -1.628320038
