# Max laser power, a little lower laser power, a little more lower laser power
# TIME, CH1, TIME, CH1, TIME, CH1
-1.33E-05, 0, -1.33E-05, -0.2, -1.33E-05, 0
-1.33E-05, 0.4, -1.33E-05, 0.2, -1.33E-05, 0
-1.33E-05, 0.4, -1.33E-05, 0.2, -1.33E-05, 0
-1.33E-05, 0.2, -1.33E-05, 0.2, -1.33E-05, 0
-1.33E-05, -0.2, -1.33E-05, 0.2, -1.33E-05, 0.2
-1.32E-05, 0, -1.32E-05, -0.2, -1.32E-05, 0
-1.32E-05, 0.4, -1.32E-05, 0, -1.32E-05, 0.4
-1.32E-05, 0, -1.32E-05, 0, -1.32E-05, 0
-1.32E-05, 0.2, -1.32E-05, 0, -1.32E-05, -0.2
-1.32E-05, 0, -1.32E-05, 0.4, -1.32E-05, 0
-1.31E-05, 0, -1.31E-05, 0, -1.31E-05, -0.2
-1.31E-05, 0, -1.31E-05, 0.4, -1.31E-05, 0.2
-1.31E-05, 0, -1.31E-05, 0.2, -1.31E-05, 0.4
-1.31E-05, 0.2, -1.31E-05, -0.2, -1.31E-05, 0.4
-1.31E-05, 0.2, -1.31E-05, 0, -1.31E-05, 0.2
-1.30E-05, 0.2, -1.30E-05, 0, -1.30E-05, -0.2
-1.30E-05, 0.2, -1.30E-05, 0.2, -1.30E-05, 0.2
-1.30E-05, 0, -1.30E-05, 0, -1.30E-05, 0.2
-1.30E-05, 0.2, -1.30E-05, 0.2, -1.30E-05, 0.2
-1.30E-05, -0.2, -1.30E-05, -0.2, -1.30E-05, -0.2
-1.29E-05, 0, -1.29E-05, 0.2, -1.29E-05, 0
-1.29E-05, 0.2, -1.29E-05, 0, -1.29E-05, 0.2
-1.29E-05, 0.2, -1.29E-05, 0.2, -1.29E-05, 0.2
-1.29E-05, 0, -1.29E-05, 0.2, -1.29E-05, 0
-1.29E-05, 0.4, -1.29E-05, 0.6, -1.29E-05, 0
-1.28E-05, 0, -1.28E-05, 0, -1.28E-05, 0.4
-1.28E-05, 0, -1.28E-05, 0, -1.28E-05, 0
-1.28E-05, 0, -1.28E-05, 0, -1.28E-05, 0.4
-1.28E-05, -0.2, -1.28E-05, -0.2, -1.28E-05, -0.2
-1.28E-05, 0.4, -1.28E-05, 0.4, -1.28E-05, 0.2
-1.27E-05, 0, -1.27E-05, 0.4, -1.27E-05, 0
-1.27E-05, 0, -1.27E-05, 0.2, -1.27E-05, 0
-1.27E-05, 0.4, -1.27E-05, 0.2, -1.27E-05, -0.2
-1.27E-05, 0.2, -1.27E-05, 0.2, -1.27E-05, 0.2
-1.27E-05, 0.2, -1.27E-05, 0, -1.27E-05, 0.2
-1.26E-05, 0, -1.26E-05, 0, -1.26E-05, 0.2
-1.26E-05, 0, -1.26E-05, 0.2, -1.26E-05, 0.4
-1.26E-05, 0.2, -1.26E-05, 0, -1.26E-05, 0
-1.26E-05, 0.4, -1.26E-05, 0.4, -1.26E-05, 0
-1.26E-05, 0.4, -1.26E-05, 0.2, -1.26E-05, -0.2
-1.25E-05, 0, -1.25E-05, 0.2, -1.25E-05, 0
-1.25E-05, -0.2, -1.25E-05, 0, -1.25E-05, 0
-1.25E-05, 0, -1.25E-05, 0, -1.25E-05, 0.4
-1.25E-05, 0.2, -1.25E-05, 0.2, -1.25E-05, 0.6
-1.25E-05, 0.4, -1.25E-05, 0, -1.25E-05, 0.2
-1.24E-05, 0.2, -1.24E-05, -0.2, -1.24E-05, 0
-1.24E-05, 0, -1.24E-05, 0, -1.24E-05, 0.2
-1.24E-05, 0, -1.24E-05, 0, -1.24E-05, 0
-1.24E-05, 0, -1.24E-05, 0.2, -1.24E-05, 0.4
-1.24E-05, 0, -1.24E-05, 0, -1.24E-05, 0
-1.23E-05, -0.2, -1.23E-05, 0, -1.23E-05, 0
-1.23E-05, 0.2, -1.23E-05, 0, -1.23E-05, -0.2
-1.23E-05, -0.2, -1.23E-05, 0, -1.23E-05, 0
-1.23E-05, 0, -1.23E-05, 0, -1.23E-05, 0
-1.23E-05, -0.2, -1.23E-05, 0.2, -1.23E-05, -0.2
-1.22E-05, 0, -1.22E-05, 0, -1.22E-05, -0.2
-1.22E-05, 0.4, -1.22E-05, 0, -1.22E-05, 0
-1.22E-05, 0.2, -1.22E-05, 0.4, -1.22E-05, 0
-1.22E-05, 0, -1.22E-05, 0, -1.22E-05, 0
-1.22E-05, 0.2, -1.22E-05, 0.2, -1.22E-05, 0.2
-1.21E-05, -0.4, -1.21E-05, 0.2, -1.21E-05, 0
-1.21E-05, 0, -1.21E-05, 0.4, -1.21E-05, 0.2
-1.21E-05, -0.2, -1.21E-05, 0.4, -1.21E-05, 0.4
-1.21E-05, 0.4, -1.21E-05, 0.2, -1.21E-05, 0
-1.21E-05, 0.2, -1.21E-05, 0.6, -1.21E-05, 0
-1.20E-05, 0.4, -1.20E-05, 0.2, -1.20E-05, 0.2
-1.20E-05, 0.2, -1.20E-05, 0.2, -1.20E-05, 0
-1.20E-05, 0, -1.20E-05, 0.6, -1.20E-05, -0.2
-1.20E-05, 0, -1.20E-05, 0, -1.20E-05, 0.2
-1.20E-05, 0.4, -1.20E-05, -0.2, -1.20E-05, 0.2
-1.19E-05, 0.2, -1.19E-05, -0.2, -1.19E-05, 0
-1.19E-05, 0, -1.19E-05, 0, -1.19E-05, 0
-1.19E-05, 0.2, -1.19E-05, 0.2, -1.19E-05, 0.2
-1.19E-05, 0.2, -1.19E-05, 0.2, -1.19E-05, 0.2
-1.19E-05, 0, -1.19E-05, 0, -1.19E-05, 0
-1.18E-05, 0, -1.18E-05, 0.2, -1.18E-05, 0.4
-1.18E-05, 0.2, -1.18E-05, 0, -1.18E-05, -0.2
-1.18E-05, 0, -1.18E-05, 0.2, -1.18E-05, 0
-1.18E-05, 0.2, -1.18E-05, 0, -1.18E-05, 0.2
-1.18E-05, -0.2, -1.18E-05, 0, -1.18E-05, 0
-1.17E-05, 0.2, -1.17E-05, 0, -1.17E-05, 0
-1.17E-05, 0, -1.17E-05, 0, -1.17E-05, -0.2
-1.17E-05, 0.2, -1.17E-05, 0.2, -1.17E-05, -0.2
-1.17E-05, 0.2, -1.17E-05, 0.2, -1.17E-05, 0.4
-1.17E-05, 0.4, -1.17E-05, 0.4, -1.17E-05, 0.2
-1.16E-05, 0.4, -1.16E-05, 0.2, -1.16E-05, 0
-1.16E-05, 0, -1.16E-05, 0.6, -1.16E-05, 0.2
-1.16E-05, 0, -1.16E-05, 0.2, -1.16E-05, -0.2
-1.16E-05, 0.2, -1.16E-05, 0.2, -1.16E-05, 0
-1.16E-05, 0.2, -1.16E-05, 0.2, -1.16E-05, 0
-1.15E-05, 0.6, -1.15E-05, 0.2, -1.15E-05, 0
-1.15E-05, 0, -1.15E-05, 0.2, -1.15E-05, 0.2
-1.15E-05, 0.2, -1.15E-05, 0.2, -1.15E-05, 0.2
-1.15E-05, 0.2, -1.15E-05, 0.2, -1.15E-05, 0
-1.15E-05, 0.2, -1.15E-05, -0.2, -1.15E-05, 0.6
-1.14E-05, -0.2, -1.14E-05, 0, -1.14E-05, 0
-1.14E-05, 0.2, -1.14E-05, -0.2, -1.14E-05, 0
-1.14E-05, 0.2, -1.14E-05, 0, -1.14E-05, 0.2
-1.14E-05, 0, -1.14E-05, 0, -1.14E-05, 0.2
-1.14E-05, 0, -1.14E-05, -0.2, -1.14E-05, 0.4
-1.13E-05, 0.2, -1.13E-05, 0.2, -1.13E-05, 0
-1.13E-05, -0.2, -1.13E-05, 0, -1.13E-05, 0.2
-1.13E-05, 0, -1.13E-05, 0.6, -1.13E-05, -0.2
-1.13E-05, 0, -1.13E-05, 0, -1.13E-05, 0.2
-1.13E-05, 0, -1.13E-05, 0.4, -1.13E-05, 0.2
-1.12E-05, -0.2, -1.12E-05, 0, -1.12E-05, 0
-1.12E-05, 0.6, -1.12E-05, 0.2, -1.12E-05, 0
-1.12E-05, -0.2, -1.12E-05, 0.2, -1.12E-05, 0.4
-1.12E-05, 0.4, -1.12E-05, 0, -1.12E-05, 0.4
-1.12E-05, 0.2, -1.12E-05, 0.2, -1.12E-05, 0.2
-1.11E-05, -0.2, -1.11E-05, 0, -1.11E-05, 0
-1.11E-05, 0, -1.11E-05, 0.2, -1.11E-05, 0.2
-1.11E-05, 0.2, -1.11E-05, 0.2, -1.11E-05, 0.2
-1.11E-05, 0, -1.11E-05, 0.2, -1.11E-05, 0
-1.11E-05, 0.6, -1.11E-05, 0.2, -1.11E-05, 0.2
-1.10E-05, 0.2, -1.10E-05, -0.2, -1.10E-05, 0
-1.10E-05, -0.4, -1.10E-05, 0.2, -1.10E-05, 0
-1.10E-05, 0, -1.10E-05, 0, -1.10E-05, 0.2
-1.10E-05, 0, -1.10E-05, 0.4, -1.10E-05, 0.2
-1.10E-05, 0.2, -1.10E-05, 0.2, -1.10E-05, 0.2
-1.09E-05, 0, -1.09E-05, 0, -1.09E-05, 0.4
-1.09E-05, -0.2, -1.09E-05, -0.2, -1.09E-05, 0.4
-1.09E-05, 0, -1.09E-05, 0.2, -1.09E-05, 0.2
-1.09E-05, 0.2, -1.09E-05, 0, -1.09E-05, 0.6
-1.09E-05, 0, -1.09E-05, 0.4, -1.09E-05, 0.2
-1.08E-05, 0, -1.08E-05, 0.2, -1.08E-05, 0.2
-1.08E-05, 0, -1.08E-05, 0, -1.08E-05, 0.2
-1.08E-05, 0, -1.08E-05, 0, -1.08E-05, 0.2
-1.08E-05, 0, -1.08E-05, 0.2, -1.08E-05, 0.4
-1.08E-05, 0.2, -1.08E-05, 0, -1.08E-05, 0.4
-1.07E-05, 0, -1.07E-05, 0.4, -1.07E-05, 0
-1.07E-05, 0, -1.07E-05, 0, -1.07E-05, 0.4
-1.07E-05, 0.2, -1.07E-05, 0, -1.07E-05, 0
-1.07E-05, 0, -1.07E-05, 0.2, -1.07E-05, 0
-1.07E-05, 0.2, -1.07E-05, 0.2, -1.07E-05, 0.2
-1.06E-05, 0.4, -1.06E-05, 0.2, -1.06E-05, 0.2
-1.06E-05, 0.4, -1.06E-05, 0, -1.06E-05, 0
-1.06E-05, -0.2, -1.06E-05, -0.2, -1.06E-05, 0
-1.06E-05, 0.2, -1.06E-05, 0.2, -1.06E-05, 0.2
-1.06E-05, 0, -1.06E-05, 0.2, -1.06E-05, 0
-1.05E-05, 0, -1.05E-05, 0.2, -1.05E-05, 0
-1.05E-05, 0.4, -1.05E-05, 0.4, -1.05E-05, 0.2
-1.05E-05, -0.2, -1.05E-05, -0.2, -1.05E-05, 0.2
-1.05E-05, -0.4, -1.05E-05, 0, -1.05E-05, 0.2
-1.05E-05, 0, -1.05E-05, 0.2, -1.05E-05, 0
-1.04E-05, 0.2, -1.04E-05, 0, -1.04E-05, 0
-1.04E-05, 0.2, -1.04E-05, 0.4, -1.04E-05, 0.2
-1.04E-05, 0.4, -1.04E-05, 0, -1.04E-05, -0.2
-1.04E-05, 0, -1.04E-05, 0.2, -1.04E-05, 0.2
-1.04E-05, 0.2, -1.04E-05, 0.4, -1.04E-05, -0.2
-1.03E-05, 0, -1.03E-05, 0.4, -1.03E-05, 0.2
-1.03E-05, 0, -1.03E-05, -0.2, -1.03E-05, 0
-1.03E-05, 0, -1.03E-05, 0.2, -1.03E-05, 0.2
-1.03E-05, 0, -1.03E-05, 0.2, -1.03E-05, 0
-1.03E-05, 0.2, -1.03E-05, 0.2, -1.03E-05, 0.2
-1.02E-05, 0.2, -1.02E-05, 0.2, -1.02E-05, 0.2
-1.02E-05, 0, -1.02E-05, 0, -1.02E-05, -0.2
-1.02E-05, 0, -1.02E-05, 0.2, -1.02E-05, 0.2
-1.02E-05, 0, -1.02E-05, 0.2, -1.02E-05, 0
-1.02E-05, 0.2, -1.02E-05, 0.2, -1.02E-05, 0
-1.01E-05, 0.4, -1.01E-05, 0.2, -1.01E-05, -0.2
-1.01E-05, 0.2, -1.01E-05, 0, -1.01E-05, 0.4
-1.01E-05, -0.2, -1.01E-05, 0.4, -1.01E-05, 0
-1.01E-05, 0.2, -1.01E-05, 0.2, -1.01E-05, 0
-1.01E-05, 0, -1.01E-05, 0, -1.01E-05, 0.2
-1.00E-05, 0, -1.00E-05, 0.2, -1.00E-05, 0.2
-1.00E-05, 0.4, -1.00E-05, 0, -1.00E-05, 0
-1.00E-05, 0.2, -1.00E-05, 0.2, -1.00E-05, 0.4
-9.98E-06, 0, -9.98E-06, 0.4, -9.98E-06, 0.2
-9.96E-06, 0.2, -9.96E-06, 0, -9.96E-06, 0.2
-9.94E-06, 0.2, -9.94E-06, 0, -9.94E-06, 0.2
-9.92E-06, 0, -9.92E-06, 0, -9.92E-06, 0.2
-9.90E-06, 0, -9.90E-06, -0.2, -9.90E-06, 0.2
-9.88E-06, 0, -9.88E-06, 0, -9.88E-06, 0
-9.86E-06, 0.2, -9.86E-06, 0, -9.86E-06, 0.2
-9.84E-06, 0.2, -9.84E-06, 0, -9.84E-06, 0.2
-9.82E-06, -0.2, -9.82E-06, 0.4, -9.82E-06, 0.2
-9.80E-06, 0.2, -9.80E-06, 0.2, -9.80E-06, 0.2
-9.78E-06, 0.2, -9.78E-06, 0.2, -9.78E-06, 0.2
-9.76E-06, 0.2, -9.76E-06, 0.2, -9.76E-06, 0
-9.74E-06, 0.4, -9.74E-06, -0.2, -9.74E-06, 0
-9.72E-06, -0.6, -9.72E-06, 0, -9.72E-06, 0
-9.70E-06, 0, -9.70E-06, 0, -9.70E-06, 0.6
-9.68E-06, 0.4, -9.68E-06, -0.2, -9.68E-06, 0
-9.66E-06, 0, -9.66E-06, 0.2, -9.66E-06, 0.2
-9.64E-06, 0, -9.64E-06, 0.2, -9.64E-06, 0.2
-9.62E-06, -0.2, -9.62E-06, 0, -9.62E-06, 0
-9.60E-06, 0, -9.60E-06, 0, -9.60E-06, 0.4
-9.58E-06, 0.2, -9.58E-06, -0.4, -9.58E-06, 0.2
-9.56E-06, -0.2, -9.56E-06, 0.4, -9.56E-06, 0.2
-9.54E-06, 0.2, -9.54E-06, 0, -9.54E-06, 0.2
-9.52E-06, 0, -9.52E-06, 0, -9.52E-06, 0
-9.50E-06, 0, -9.50E-06, -0.2, -9.50E-06, 0.4
-9.48E-06, 0.2, -9.48E-06, 0, -9.48E-06, 0.2
-9.46E-06, 0.2, -9.46E-06, 0, -9.46E-06, -0.2
-9.44E-06, 0, -9.44E-06, 0.2, -9.44E-06, 0
-9.42E-06, 0, -9.42E-06, 0.2, -9.42E-06, 0
-9.40E-06, 0.4, -9.40E-06, 0.4, -9.40E-06, -0.2
-9.38E-06, -0.2, -9.38E-06, 0.2, -9.38E-06, 0.4
-9.36E-06, 0, -9.36E-06, 0.2, -9.36E-06, 0
-9.34E-06, 0.2, -9.34E-06, 0, -9.34E-06, 0
-9.32E-06, 0, -9.32E-06, 0, -9.32E-06, 0.2
-9.30E-06, -0.2, -9.30E-06, -0.2, -9.30E-06, 0
-9.28E-06, 0.2, -9.28E-06, -0.2, -9.28E-06, 0.2
-9.26E-06, 0, -9.26E-06, 0.2, -9.26E-06, 0.2
-9.24E-06, 0.2, -9.24E-06, 0.2, -9.24E-06, 0.2
-9.22E-06, 0, -9.22E-06, 0, -9.22E-06, 0
-9.20E-06, 0.2, -9.20E-06, 0, -9.20E-06, -0.2
-9.18E-06, 0.4, -9.18E-06, -0.2, -9.18E-06, 0.4
-9.16E-06, 0.4, -9.16E-06, 0, -9.16E-06, 0
-9.14E-06, 0.2, -9.14E-06, 0.2, -9.14E-06, 0.2
-9.12E-06, 0, -9.12E-06, 0.4, -9.12E-06, 0
-9.10E-06, 0, -9.10E-06, 0, -9.10E-06, 0
-9.08E-06, 0, -9.08E-06, 0, -9.08E-06, 0.2
-9.06E-06, 0, -9.06E-06, -0.2, -9.06E-06, 0.4
-9.04E-06, 0, -9.04E-06, 0, -9.04E-06, 0
-9.02E-06, 0, -9.02E-06, 0.2, -9.02E-06, 0
-9.00E-06, 0.2, -9.00E-06, 0.2, -9.00E-06, 0
-8.98E-06, 0.4, -8.98E-06, 0, -8.98E-06, 0.2
-8.96E-06, 0.2, -8.96E-06, 0.4, -8.96E-06, -0.2
-8.94E-06, 0.2, -8.94E-06, 0.4, -8.94E-06, -0.2
-8.92E-06, 0.2, -8.92E-06, 0, -8.92E-06, -0.2
-8.90E-06, 0.2, -8.90E-06, 0, -8.90E-06, -0.2
-8.88E-06, 0, -8.88E-06, 0, -8.88E-06, 0
-8.86E-06, 0.4, -8.86E-06, 0.2, -8.86E-06, 0.4
-8.84E-06, 0.2, -8.84E-06, 0.2, -8.84E-06, -0.2
-8.82E-06, 0.2, -8.82E-06, 0, -8.82E-06, 0
-8.80E-06, 0.2, -8.80E-06, 0.4, -8.80E-06, 0
-8.78E-06, 0, -8.78E-06, 0.2, -8.78E-06, 0
-8.76E-06, 0.4, -8.76E-06, 0.2, -8.76E-06, 0
-8.74E-06, -0.2, -8.74E-06, 0.6, -8.74E-06, 0
-8.72E-06, 0, -8.72E-06, 0, -8.72E-06, -0.2
-8.70E-06, -0.2, -8.70E-06, -0.4, -8.70E-06, 0
-8.68E-06, 0.2, -8.68E-06, 0, -8.68E-06, 0
-8.66E-06, 0.2, -8.66E-06, -0.2, -8.66E-06, -0.2
-8.64E-06, 0.4, -8.64E-06, 0, -8.64E-06, 0.4
-8.62E-06, 0, -8.62E-06, -0.2, -8.62E-06, 0.2
-8.60E-06, -0.6, -8.60E-06, 0.2, -8.60E-06, 0
-8.58E-06, 0, -8.58E-06, 0, -8.58E-06, 0
-8.56E-06, 0.2, -8.56E-06, 0.2, -8.56E-06, 0
-8.54E-06, 0.4, -8.54E-06, 0.4, -8.54E-06, 0.4
-8.52E-06, 0, -8.52E-06, 0.2, -8.52E-06, 0
-8.50E-06, 0.2, -8.50E-06, 0.2, -8.50E-06, 0
-8.48E-06, 0, -8.48E-06, 0.2, -8.48E-06, 0.2
-8.46E-06, -0.2, -8.46E-06, 0, -8.46E-06, -0.2
-8.44E-06, 0.2, -8.44E-06, 0, -8.44E-06, 0.2
-8.42E-06, 0, -8.42E-06, 0.4, -8.42E-06, 0
-8.40E-06, 0, -8.40E-06, 0, -8.40E-06, 0
-8.38E-06, -0.2, -8.38E-06, 0, -8.38E-06, 0.2
-8.36E-06, 0.4, -8.36E-06, 0.2, -8.36E-06, 0
-8.34E-06, 0.2, -8.34E-06, 0, -8.34E-06, 0
-8.32E-06, 0, -8.32E-06, 0.2, -8.32E-06, 0
-8.30E-06, 0.2, -8.30E-06, 0.2, -8.30E-06, 0.2
-8.28E-06, 0.4, -8.28E-06, 0, -8.28E-06, 0
-8.26E-06, 0.2, -8.26E-06, -0.2, -8.26E-06, 0.2
-8.24E-06, 0, -8.24E-06, 0.2, -8.24E-06, 0.2
-8.22E-06, 0, -8.22E-06, 0, -8.22E-06, 0
-8.20E-06, 0, -8.20E-06, 0, -8.20E-06, -0.2
-8.18E-06, 0.2, -8.18E-06, 0.2, -8.18E-06, 0.2
-8.16E-06, 0.2, -8.16E-06, 0.2, -8.16E-06, 0
-8.14E-06, 0, -8.14E-06, 0.2, -8.14E-06, 0
-8.12E-06, 0.2, -8.12E-06, 0.2, -8.12E-06, 0
-8.10E-06, 0.2, -8.10E-06, 0, -8.10E-06, 0
-8.08E-06, 0, -8.08E-06, 0.2, -8.08E-06, -0.2
-8.06E-06, 0.6, -8.06E-06, 0, -8.06E-06, 0
-8.04E-06, 0, -8.04E-06, -0.2, -8.04E-06, 0.2
-8.02E-06, 0, -8.02E-06, 0, -8.02E-06, 0.2
-8.00E-06, 0.2, -8.00E-06, 0, -8.00E-06, 0.2
-7.98E-06, 0, -7.98E-06, 0, -7.98E-06, 0.2
-7.96E-06, 0.2, -7.96E-06, 0.6, -7.96E-06, 0.2
-7.94E-06, 0.2, -7.94E-06, 0.2, -7.94E-06, 0
-7.92E-06, 0.4, -7.92E-06, -0.2, -7.92E-06, 0.2
-7.90E-06, 0, -7.90E-06, 0.2, -7.90E-06, 0
-7.88E-06, 0, -7.88E-06, 0.2, -7.88E-06, -0.2
-7.86E-06, 0.4, -7.86E-06, 0.6, -7.86E-06, 0
-7.84E-06, 0, -7.84E-06, 0.2, -7.84E-06, 0
-7.82E-06, 0.2, -7.82E-06, 0, -7.82E-06, 0.2
-7.80E-06, 0.4, -7.80E-06, 0, -7.80E-06, -0.2
-7.78E-06, 0, -7.78E-06, 0, -7.78E-06, 0.2
-7.76E-06, 0.4, -7.76E-06, 0.2, -7.76E-06, 0.2
-7.74E-06, -0.2, -7.74E-06, 0.2, -7.74E-06, 0
-7.72E-06, 0, -7.72E-06, 0.4, -7.72E-06, 0.4
-7.70E-06, 0.2, -7.70E-06, 0.4, -7.70E-06, -0.2
-7.68E-06, 0.4, -7.68E-06, -0.4, -7.68E-06, 0
-7.66E-06, 0.2, -7.66E-06, -0.2, -7.66E-06, 0.2
-7.64E-06, 0.2, -7.64E-06, 0, -7.64E-06, 0.2
-7.62E-06, 0.6, -7.62E-06, 0.2, -7.62E-06, 0.4
-7.60E-06, 0, -7.60E-06, 0, -7.60E-06, -0.2
-7.58E-06, 0, -7.58E-06, -0.2, -7.58E-06, 0
-7.56E-06, 0, -7.56E-06, 0.6, -7.56E-06, 0
-7.54E-06, 0.2, -7.54E-06, 0, -7.54E-06, 0
